datapath,port_no,rx_bytes,rx_errors,rx_packets,tx_bytes,tx_errors,tx_packets
1,1,20356,0,206,43405,0,434
1,2,20258,0,205,43503,0,435
1,3,20120,0,204,43645,0,436
1,4294967294,0,0,0,0,0,0
10,1,57750,0,577,5835,0,61
10,2,936,0,12,62735,0,627
10,3,936,0,12,62649,0,626
10,4,936,0,12,62649,0,626
10,4294967294,0,0,0,0,0,0
11,1,58016,0,580,5831,0,61
11,2,936,0,12,62911,0,629
11,3,936,0,12,63001,0,630
11,4,936,0,12,62911,0,629
11,4294967294,0,0,0,0,0,0
12,1,57930,0,579,5921,0,62
12,2,936,0,12,62825,0,628
12,3,936,0,12,62825,0,628
12,4,936,0,12,62825,0,628
12,4294967294,0,0,0,0,0,0
13,1,936,0,12,63001,0,630
13,2,936,0,12,63005,0,630
13,3,936,0,12,62915,0,629
13,4,58192,0,582,5745,0,60
13,4294967294,0,0,0,0,0,0
2,1,5963,0,63,57712,0,576
2,2,5479,0,57,58110,0,581
2,3,5651,0,59,57938,0,579
2,4,43645,0,436,20120,0,204
2,4294967294,0,0,0,0,0,0
3,1,5835,0,61,57836,0,578
3,2,5659,0,59,57926,0,579
3,3,5835,0,61,57750,0,577
3,4,43405,0,434,20356,0,206
3,4294967294,0,0,0,0,0,0
4,1,5921,0,62,57930,0,579
4,2,5831,0,61,58016,0,580
4,3,5745,0,60,58192,0,582
4,4,43503,0,435,20258,0,205
4,4294967294,0,0,0,0,0,0
5,1,57712,0,576,5963,0,63
5,2,16435786460,0,373510,18796421,0,284470
5,3,18734746,0,283857,16435848135,0,374123
5,4,936,0,12,62653,0,626
5,4294967294,0,0,0,0,0,0
6,1,58110,0,581,5479,0,57
6,2,936,0,12,62743,0,627
6,3,936,0,12,62657,0,626
6,4,936,0,12,62743,0,627
6,4294967294,0,0,0,0,0,0
7,1,57938,0,579,5651,0,59
7,2,936,0,12,62743,0,627
7,3,936,0,12,62743,0,627
7,4,936,0,12,62743,0,627
7,4294967294,0,0,0,0,0,0
8,1,57926,0,579,5659,0,59
8,2,936,0,12,62735,0,627
8,3,936,0,12,62825,0,628
8,4,936,0,12,62649,0,626
8,4294967294,0,0,0,0,0,0
9,1,57836,0,578,5835,0,61
9,2,936,0,12,62731,0,627
9,3,936,0,12,62645,0,626
9,4,936,0,12,62645,0,626
9,4294967294,0,0,0,0,0,0
